2024-11-28 16:34:53,334 INFO    MainThread:503153 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_setup.py:_flush():79] Configure stats pid to 503153
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_setup.py:_flush():79] Loading settings from /home/shilin/.config/wandb/settings
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_setup.py:_flush():79] Loading settings from /home/shilin/code/MSFCG-main/MSFCG/wandb/settings
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'run_longExp.py', 'program_abspath': '/home/shilin/code/MSFCG-main/MSFCG/run_longExp.py', 'program': '/home/shilin/code/MSFCG-main/MSFCG/run_longExp.py'}
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_init.py:_log_setup():533] Logging user logs to /home/shilin/code/MSFCG-main/MSFCG/wandb/run-20241128_163453-kkvqhqdf/logs/debug.log
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_init.py:_log_setup():534] Logging internal logs to /home/shilin/code/MSFCG-main/MSFCG/wandb/run-20241128_163453-kkvqhqdf/logs/debug-internal.log
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_init.py:init():619] calling init triggers
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-28 16:34:53,335 INFO    MainThread:503153 [wandb_init.py:init():669] starting backend
2024-11-28 16:34:53,336 INFO    MainThread:503153 [wandb_init.py:init():673] sending inform_init request
2024-11-28 16:34:53,337 INFO    MainThread:503153 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-28 16:34:53,338 INFO    MainThread:503153 [wandb_init.py:init():686] backend started and connected
2024-11-28 16:34:53,339 INFO    MainThread:503153 [wandb_init.py:init():781] updated telemetry
2024-11-28 16:34:53,344 INFO    MainThread:503153 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-28 16:34:54,476 INFO    MainThread:503153 [wandb_init.py:init():867] starting run threads in backend
2024-11-28 16:34:54,563 INFO    MainThread:503153 [wandb_run.py:_console_start():2456] atexit reg
2024-11-28 16:34:54,563 INFO    MainThread:503153 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-28 16:34:54,564 INFO    MainThread:503153 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-28 16:34:54,564 INFO    MainThread:503153 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-28 16:34:54,566 INFO    MainThread:503153 [wandb_init.py:init():911] run started, returning control to user process
2024-11-28 16:34:56,617 WARNING MsgRouterThr:503153 [router.py:message_loop():75] message_loop has been closed
